ward,category,period,actual_spend,prior_period,prior_actual_spend,growth_type,formula,growth_pct,flag,note
Ward 1 – Kasba,Roads & Pothole Repair,2024-01,13.3,2023-12,,MoM,NOT COMPUTED - no 2023-12 data for MoM,,NO_PRIOR_PERIOD,No 2023-12 row in the dataset to compare against
Ward 1 – Kasba,Roads & Pothole Repair,2024-02,12.2,2024-01,13.3,MoM,MoM = (actual[2024-02] - actual[2024-01]) / actual[2024-01] * 100 = (12.2 - 13.3) / 13.3 * 100 = -8.3%,-8.3,,
Ward 1 – Kasba,Roads & Pothole Repair,2024-03,12.3,2024-02,12.2,MoM,MoM = (actual[2024-03] - actual[2024-02]) / actual[2024-02] * 100 = (12.3 - 12.2) / 12.2 * 100 = +0.8%,0.8,,
Ward 1 – Kasba,Roads & Pothole Repair,2024-04,13.4,2024-03,12.3,MoM,MoM = (actual[2024-04] - actual[2024-03]) / actual[2024-03] * 100 = (13.4 - 12.3) / 12.3 * 100 = +8.9%,8.9,,
Ward 1 – Kasba,Roads & Pothole Repair,2024-05,14.1,2024-04,13.4,MoM,MoM = (actual[2024-05] - actual[2024-04]) / actual[2024-04] * 100 = (14.1 - 13.4) / 13.4 * 100 = +5.2%,5.2,,
Ward 1 – Kasba,Roads & Pothole Repair,2024-06,14.8,2024-05,14.1,MoM,MoM = (actual[2024-06] - actual[2024-05]) / actual[2024-05] * 100 = (14.8 - 14.1) / 14.1 * 100 = +5.0%,5.0,,
Ward 1 – Kasba,Roads & Pothole Repair,2024-07,19.7,2024-06,14.8,MoM,MoM = (actual[2024-07] - actual[2024-06]) / actual[2024-06] * 100 = (19.7 - 14.8) / 14.8 * 100 = +33.1%,33.1,,
Ward 1 – Kasba,Roads & Pothole Repair,2024-08,20.2,2024-07,19.7,MoM,MoM = (actual[2024-08] - actual[2024-07]) / actual[2024-07] * 100 = (20.2 - 19.7) / 19.7 * 100 = +2.5%,2.5,,
Ward 1 – Kasba,Roads & Pothole Repair,2024-09,20.1,2024-08,20.2,MoM,MoM = (actual[2024-09] - actual[2024-08]) / actual[2024-08] * 100 = (20.1 - 20.2) / 20.2 * 100 = -0.5%,-0.5,,
Ward 1 – Kasba,Roads & Pothole Repair,2024-10,13.1,2024-09,20.1,MoM,MoM = (actual[2024-10] - actual[2024-09]) / actual[2024-09] * 100 = (13.1 - 20.1) / 20.1 * 100 = -34.8%,-34.8,,
Ward 1 – Kasba,Roads & Pothole Repair,2024-11,14.2,2024-10,13.1,MoM,MoM = (actual[2024-11] - actual[2024-10]) / actual[2024-10] * 100 = (14.2 - 13.1) / 13.1 * 100 = +8.4%,8.4,,
Ward 1 – Kasba,Roads & Pothole Repair,2024-12,12.7,2024-11,14.2,MoM,MoM = (actual[2024-12] - actual[2024-11]) / actual[2024-11] * 100 = (12.7 - 14.2) / 14.2 * 100 = -10.6%,-10.6,,
