complaint_id,category,priority,reason,flag
PM-202401,Pothole,Standard,"Classified Pothole because the description mentions ""pothole"".",
PM-202402,Pothole,Urgent,"Classified Pothole because the description mentions ""pothole"", and priority is Urgent because it mentions ""children"", ""School"".",
PM-202406,Flooding,Standard,"Classified Flooding because the description mentions ""flooded"", ""rain"".",
PM-202408,Flooding,Standard,"Classified Flooding because the description mentions ""flooded"", ""standing in water"".",
PM-202410,Streetlight,Standard,"Classified Streetlight because the description mentions ""streetlights"", ""dark"".",
PM-202411,Streetlight,Urgent,"Classified Streetlight because the description mentions ""Streetlight"", and priority is Urgent because it mentions ""hazard"".",
PM-202413,Waste,Standard,"Classified Waste because the description mentions ""garbage"".",
PM-202418,Noise,Standard,"Classified Noise because the description mentions ""music"".",
PM-202419,Road Damage,Standard,"Classified Road Damage because the description mentions ""Road surface"", ""cracked"", ""sinking"".",
PM-202420,Road Damage,Urgent,"Classified Road Damage because the description mentions ""Manhole"", flagged for review because the evidence is weak, and priority is Urgent because it mentions ""injury"".",NEEDS_REVIEW
PM-202427,Flooding,Standard,"Classified Flooding because the description mentions ""floods"", ""rain"".",
PM-202428,Waste,Standard,"Classified Waste because the description mentions ""Dead animal"", flagged for review because the evidence is weak.",NEEDS_REVIEW
PM-202430,Streetlight,Standard,"Classified Streetlight because the description mentions ""lights out"", ""dark"".",
PM-202433,Waste,Standard,"Classified Waste because the description mentions ""waste"".",
PM-202446,Road Damage,Urgent,"Classified Road Damage because the description mentions ""Footpath"", and priority is Urgent because it mentions ""fell"".",
