complaint_id,category,priority,reason,flag
GH-202401,Flooding,Urgent,"Classified Flooding because the description mentions ""flooded"", ""rain"", and priority is Urgent because it mentions ""Ambulance"".",
GH-202402,Flooding,Standard,"Classified Flooding because the description mentions ""flooded"", flagged for review because it also fits Drain Blockage.",NEEDS_REVIEW
GH-202406,Drain Blockage,Standard,"Classified Drain Blockage because the description mentions ""drain 100% blocked"".",
GH-202407,Drain Blockage,Standard,"Classified Drain Blockage because the description mentions ""Drain blocked"".",
GH-202410,Pothole,Standard,"Classified Pothole because the description mentions ""Potholes"".",
GH-202411,Pothole,Urgent,"Classified Pothole because the description mentions ""Pothole"", and priority is Urgent because it mentions ""hospitalised"".",
GH-202412,Pothole,Urgent,"Classified Pothole because the description mentions ""potholes"", and priority is Urgent because it mentions ""School"".",
GH-202417,Waste,Standard,"Classified Waste because the description mentions ""garbage"".",
GH-202420,Noise,Standard,"Classified Noise because the description mentions ""drilling"".",
GH-202422,Road Damage,Urgent,"Classified Road Damage because the description mentions ""Crater"", ""collapsed"", and priority is Urgent because it mentions ""collapsed"".",
GH-202424,Flooding,Standard,"Classified Flooding because the description mentions ""floods"", ""rain"".",
GH-202428,Waste,Standard,"Classified Waste because the description mentions ""waste"".",
GH-202432,Noise,Standard,"Classified Noise because the description mentions ""idling"", flagged for review because the evidence is weak.",NEEDS_REVIEW
GH-202448,Drain Blockage,Standard,"Classified Drain Blockage because the description mentions ""drain blocked"".",
GH-202438,Flooding,Standard,"Classified Flooding because the description mentions ""rainwater"", flagged for review because the evidence is weak.",NEEDS_REVIEW
